theta phi time lbol MU MB MV MR MI MJ
0.966666718423 0.1047 4.0 1.20206725758e+42 -16.7773372978 -15.7109503514 -15.5750391645 -15.304263785 -15.532115234 -15.2465681755
0.966666718423 0.3142 4.0 1.11301534986e+42 -16.7280405229 -15.6563700899 -15.4959140072 -15.3260116898 -15.4858494773 -15.0594862297
0.966666718423 0.5236 4.0 1.05722592569e+42 -16.6752174348 -15.6397051664 -15.4445367849 -15.2936088713 -15.321395617 -15.2417239211
0.966666718423 0.733 4.0 1.02979412974e+42 -16.6795493635 -15.5905759864 -15.4191524651 -15.2013838742 -15.3177592749 -15.1187227803
0.966666718423 0.9425 4.0 1.02810613058e+42 -16.6308281528 -15.6051701567 -15.471649428 -15.2166398675 -15.3621032946 -15.1454026308
0.966666718423 1.1519 4.0 1.05283459888e+42 -16.6447188919 -15.6379805675 -15.4822783524 -15.3452772489 -15.5973758537 -15.0640484539
0.966666718423 1.3614 4.0 1.11612331779e+42 -16.742864167 -15.6488338454 -15.56141705 -15.3300079163 -15.4786618682 -15.1166887563
0.966666718423 1.5708 4.0 1.20406187382e+42 -16.7385796878 -15.7685739156 -15.5386095626 -15.3758748478 -15.5734897553 -15.2130816102
0.966666718423 1.7802 4.0 1.24896708347e+42 -16.851381537 -15.7599712647 -15.6104686406 -15.4428078603 -15.5724148296 -15.279107819
0.966666718423 1.9897 4.0 1.29361084192e+42 -16.8182297942 -15.7689225447 -15.6745281614 -15.4415225305 -15.5519456499 -15.3658372334
0.966666718423 2.1991 4.0 1.34558106336e+42 -16.8627061054 -15.8149254074 -15.7379661246 -15.4164449749 -15.632965055 -15.3548519751
0.966666718423 2.4086 4.0 1.42773547669e+42 -16.9581723723 -15.9358054196 -15.7118134111 -15.5099714463 -15.6790533437 -15.2778823074
0.966666718423 2.618 4.0 1.44943412048e+42 -16.9584982956 -15.8984707017 -15.7628987724 -15.4970156237 -15.6689070286 -15.4499974625
0.966666718423 2.8274 4.0 1.46589838469e+42 -16.9520013116 -15.8994069311 -15.7418600328 -15.4913652433 -15.7525920966 -15.3778537369
0.966666718423 3.0369 4.0 1.48894893297e+42 -16.9877407642 -15.9086204646 -15.691133739 -15.5051139512 -15.7214442345 -15.3601704362
0.966666718423 3.2463 4.0 1.4903420541e+42 -17.0065450512 -15.9420157132 -15.7478462786 -15.4990617073 -15.6777535164 -15.365779446
0.966666718423 3.4557 4.0 1.48147067364e+42 -16.9485360464 -15.9172889699 -15.7756024018 -15.5268856074 -15.642474792 -15.3380004022
0.966666718423 3.6652 4.0 1.4550598988e+42 -17.0094271351 -15.8596134778 -15.6870722043 -15.4385833807 -15.5959519472 -15.4288750026
0.966666718423 3.8746 4.0 1.43735959324e+42 -16.9690623483 -15.9000994428 -15.6899941039 -15.4745926638 -15.6534772335 -15.2937975305
0.966666718423 4.0841 4.0 1.43230167878e+42 -16.9539486571 -15.890353734 -15.7461712285 -15.5030754782 -15.5849806294 -15.3007924546
0.966666718423 4.2935 4.0 1.41183432926e+42 -16.975297535 -15.8905932629 -15.6703478698 -15.5547317171 -15.6733797909 -15.3139771079
0.966666718423 4.5029 4.0 1.46433583467e+42 -17.0004554253 -15.90922785 -15.7714548889 -15.5262785852 -15.6715775581 -15.3602354542
